0 57.24 58.60
10 56.85 58.13
20 52.85 53.92
30 42.61 43.51
40 42.20 39.39
50 39.06 38.85
60 32.86 33.18
70 31.64 31.19
80 27.15 27.52
90 24.59 25.85
100 24.59 25.85
